route,file exists,title exists,meta description exists,canonical exists,canonical uses www,canonical is not malformed,robots meta,H1 exists,Internal Error present,empty-page state,broken internal links,duplicate canonical,in sitemap
/404.html,true,true,true,true,true,true,index,true,false,false,false,false,false
/about/,true,true,true,true,true,true,index,true,false,false,false,false,true
/about-us/,true,true,true,true,true,true,index,true,false,false,false,false,false
/accessibility-statement/,true,true,true,true,true,true,index,true,false,false,false,false,false
/ai-use-policy/,true,true,true,true,true,true,index,true,false,false,false,false,false
/blog/,true,true,true,true,true,true,index,true,false,false,false,false,true
/blog/page/,true,true,true,true,true,true,index,true,false,false,false,false,false
/book-free-audit/,true,true,true,true,true,true,index,true,false,false,false,false,true
/book-free-kajabi-audit/,true,true,true,true,true,true,index,true,false,false,false,false,false
/brand-assets/,true,true,true,true,true,true,index,true,false,false,false,false,true
/careers/,true,true,true,true,true,true,index,true,false,false,false,false,false
/case-studies/business-analytics-corporate-training/,true,true,true,true,true,true,index,true,false,false,false,false,false
/case-studies/,true,true,true,true,true,true,index,true,false,false,false,false,true
/case-studies/language-courses-book-publisher/,true,true,true,true,true,true,index,true,false,false,false,false,false
/case-studies/sqa-aligned-vocational-training/,true,true,true,true,true,true,index,true,false,false,false,false,false
/contact/,true,true,true,true,true,true,index,true,false,false,false,false,true
/cookie-policy/,true,true,true,true,true,true,index,true,false,false,false,false,false
/disclaimer/,true,true,true,true,true,true,index,true,false,false,false,false,false
/editorial-policy/,true,true,true,true,true,true,index,true,false,false,false,false,false
/home/,true,true,true,true,true,true,index,true,false,false,false,false,false
/,true,true,true,true,true,true,index,true,false,false,false,false,true
/kajabi-services/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/abu-dhabi-elearning-development/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/africa/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/amsterdam-elearning-development/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/asia-pacific/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/atlanta-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,true
/locations/auckland-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,true
/locations/australia/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/australia-new-zealand/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/bangkok-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,true
/locations/bengaluru-elearning-development/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/berlin-elearning-development/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/boston-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,true
/locations/brisbane-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,true
/locations/canada/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/cape-town-elearning-development/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/chicago-elearning-development/,true,true,true,true,true,true,index,true,false,false,false,false,true
/locations/city-100-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-101-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-102-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-103-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-104-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-105-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-106-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-107-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-108-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
/locations/city-109-elearning-development/,true,true,true,true,true,true,noindex,true,false,false,false,false,false
